01-24,01-25,01-26,01-27,01-28,01-29,01-30,01-31,02-01,02-02,02-03,02-04,02-05,02-06,02-07,02-08,02-09,02-10,02-11,02-12,02-13,02-14,02-15,02-16,02-17,02-18,02-19,02-20,02-21,02-22,02-23,02-24,02-25,02-26,02-27,02-28,02-29,03-01,03-02,03-03,03-04,03-05,03-06,03-07,03-08,03-09,03-10,03-11,03-12,03-13,03-14,03-15,03-16,03-17,03-18,03-19,03-20,03-21,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07,city
6.233766233766234,42.333333333333336,54.75000000000001,76.54545454545455,104.2,129.7,151.92619047619047,211.2,257.0888888888889,302.6583333333333,358.6583333333333,422.6583333333333,488.325,554.575,631.7116550116549,718.2420168067227,795.6083333333333,903.5333333333333,1010.4222222222222,1106.0690476190475,1320.6611111111113,1384.970743145743,1510.4083333333333,1651.1583333333333,1734.5194444444444,1850.4678571428572,1977.3378205128204,2099.6583333333333,2218.1583333333333,2301.6027777777776,2408.872619047619,2524.4249999999997,2645.825,2691.325,2725.4083333333333,2766.9083333333333,2811.9583333333335,2844.0583333333334,2875.325,2918.6583333333333,2959.9083333333333,2994.991666666667,3014.158333333333,3051.825,3078.825,3101.325,3117.825,3132.4916666666663,3150.825,3157.325,3170.825,3175.825,3194.4916666666663,3203.8249999999994,3216.075,3226.825,3230.825,3237.1583333333333,3241.6583333333333,3251.991666666667,3262.1583333333333,3266.1583333333333,3272.1583333333333,3277.1583333333333,3280.1583333333333,3284.6583333333333,3288.6583333333333,3290.1583333333333,3296.1583333333333,3301.6583333333333,3305.6583333333333,3309.6583333333333,3312.6583333333333,3314.1583333333333,3314.6583333333333,3315.6583333333333,3317.6583333333333,3318.1583333333333,3321.6583333333333,3321.6583333333333,3323.6583333333333,3323.6583333333333,3324.6583333333333,3324.6583333333333,4292.158333333333,4614.658333333333,4614.658333333333,4614.658333333333,4614.658333333333,4614.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.658333333333,4615.533333333333,4615.333333333333,4615.0,All
1.6428571428571428,36.333333333333336,43.83333333333334,61.36363636363637,85.0,104.0,118.28571428571428,159.0,192.0,224.0,265.0,313.0,362.0,409.66666666666674,478.0,545.0,600.125,681.0,748.0,820.0,1005.1428571428572,1031.4285714285713,1123.0,1233.0,1293.8,1381.0,1488.0769230769229,1585.0,1684.0,1754.0,1844.2857142857144,1943.333333333333,2043.0,2079.75,2104.0,2132.0,2169.0,2195.0,2216.333333333333,2245.5,2282.0,2305.0,2320.333333333333,2349.0,2370.0,2388.5,2404.0,2416.6666666666665,2430.0,2436.0,2446.0,2451.0,2469.0,2476.333333333333,2487.5,2496.0,2498.6666666666665,2504.0,2508.0,2517.0,2524.0,2526.0,2531.0,2535.0,2538.0,2543.0,2547.0,2548.0,2553.0,2559.0,2563.0,2567.0,2570.0,2571.0,2571.0,2572.0,2574.0,2575.0,2577.0,2577.0,2579.0,2579.0,2579.0,2579.0,3546.5,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,3869.0,Wuhan
0.0,0.0,0.0,0.4545454545454545,1.0,3.0,4.714285714285714,9.0,12.0,14.0,14.0,17.0,18.0,24.41666666666667,25.0,26.0,28.625,33.0,41.0,45.0,48.42857142857143,57.0,62.0,65.0,69.0,75.0,81.46153846153847,89.0,94.0,97.11111111111113,101.42857142857143,106.0,110.0,112.625,113.0,114.0,115.0,117.4,119.33333333333331,120.0,120.0,121.0,122.33333333333331,123.0,125.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.66666666666669,127.0,127.75,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.5,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,Xiaogan
0.0,0.0,1.6666666666666667,3.4545454545454546,4.0,5.0,9.0,12.0,14.0,15.0,17.0,19.0,25.0,28.66666666666667,32.0,36.0,42.125,45.0,52.0,54.0,57.42857142857143,59.0,68.0,75.0,77.4,84.0,84.92307692307692,87.0,90.0,93.88888888888887,97.57142857142857,101.33333333333331,106.0,106.875,110.0,114.0,115.0,115.0,115.66666666666669,118.25,120.0,121.0,121.66666666666669,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,Huanggang
0.0,0.0,0.0,0.0,0.0,1.0,1.5714285714285714,6.0,9.0,13.0,15.0,18.0,18.0,18.0,18.0,20.0,20.875,24.0,26.0,28.0,29.714285714285715,32.0,33.0,34.0,34.8,36.0,36.92307692307692,38.0,39.0,39.0,39.857142857142854,40.0,41.0,41.0,42.0,43.0,44.0,46.4,47.66666666666666,48.0,48.5,52.0,52.66666666666666,54.0,54.0,54.0,54.0,54.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,Ezhou
0.0,0.0,1.6666666666666667,2.0,2.0,2.0,2.571428571428572,3.0,4.0,4.0,6.0,7.0,9.0,9.916666666666666,10.0,11.0,12.75,15.0,17.0,21.0,22.714285714285715,27.0,32.0,36.0,36.8,38.0,38.0,40.0,40.0,40.0,40.857142857142854,41.66666666666666,42.0,43.75,45.0,46.0,46.0,46.0,47.33333333333334,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,Jingzhou
