location,region,Image URL,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24
Bermuda,Americas,https://www.countryflags.io/bm/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,6.0,6.0,6.0,15.0,17.0,22.0,22.0,27.0,32.0,32.0,35.0,35.0,37.0,37.0,39.0,39.0,39.0,48.0,48.0,50.0,57.0,57.0,57.0,81.0,83.0,83.0,86.0,86.0,86.0,98.0,99.0,99.0,99.0,99.0,109.0,110.0,110.0,111.0,114.0,114.0,114.0,115.0,115.0,115.0,118.0,118.0,118.0,118.0,118.0,119.0,121.0,121.0,122.0,123.0,123.0,123.0,125.0,125.0,125.0,125.0,128.0,133.0
Bhutan,Asia,https://www.countryflags.io/bt/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,11.0,15.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0
Bolivia,Americas,https://www.countryflags.io/bo/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,10.0,10.0,,11.0,12.0,12.0,15.0,19.0,20.0,27.0,28.0,32.0,39.0,61.0,74.0,81.0,96.0,107.0,115.0,123.0,132.0,139.0,157.0,183.0,194.0,210.0,264.0,268.0,276.0,300.0,330.0,354.0,397.0,441.0,465.0,493.0,520.0,564.0,598.0,609.0,672.0,703.0,807.0,866.0,950.0,1014.0,1053.0,1110.0,1167.0,1229.0,1470.0,1594.0,1681.0,1802.0,1886.0,2081.0,2266.0,2437.0,2556.0,2831.0,2964.0,3148.0,3372.0,3577.0,3826.0,4088.0,4263.0,4481.0,4919.0,5187.0,5579.0,5915.0
Bosnia and Herzegovina,Europe,https://www.countryflags.io/ba/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,3.0,,,18.0,21.0,21.0,36.0,44.0,44.0,92.0,125.0,129.0,162.0,181.0,181.0,229.0,257.0,323.0,353.0,413.0,464.0,532.0,586.0,632.0,663.0,695.0,781.0,816.0,875.0,901.0,948.0,1007.0,1028.0,1073.0,1100.0,1152.0,1210.0,1254.0,1269.0,1300.0,1340.0,1367.0,1413.0,1420.0,1485.0,1516.0,1564.0,1588.0,1588.0,1689.0,1781.0,1839.0,1857.0,1926.0,1946.0,1987.0,2027.0,2070.0,2070.0,2090.0,2142.0,2158.0,2181.0,2216.0,2237.0,2267.0,2289.0,2303.0,2319.0,2334.0,2352.0,2372.0,2391.0
Botswana,Africa,https://www.countryflags.io/bw/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,29.0,29.0,30.0,30.0
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,8.0,13.0,13.0,25.0,25.0,34.0,52.0,77.0,98.0,121.0,200.0,234.0,291.0,428.0,621.0,904.0,1128.0,1546.0,1891.0,2201.0,2433.0,2915.0,3417.0,3904.0,4256.0,4579.0,5717.0,6836.0,7910.0,9056.0,10278.0,11130.0,12056.0,13717.0,15927.0,17857.0,19638.0,20727.0,22169.0,23430.0,25262.0,28320.0,30425.0,33682.0,36599.0,38654.0,40581.0,43079.0,45757.0,49492.0,52995.0,58509.0,61888.0,66501.0,71886.0,78162.0,85380.0,91589.0,96559.0,101147.0,107780.0,114715.0,125218.0,135106.0,145328.0,155939.0,162699.0,168331.0,177589.0,188974.0,202918.0,218223.0,233142.0,241080.0,254220.0,271628.0,291579.0,310087.0,330890.0,347398.0
British Virgin Islands,Americas,https://www.countryflags.io/vg/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Brunei Darussalam,Asia,https://www.countryflags.io/bn/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,25.0,37.0,40.0,50.0,54.0,56.0,68.0,73.0,78.0,83.0,88.0,91.0,104.0,107.0,114.0,115.0,120.0,126.0,127.0,129.0,131.0,133.0,133.0,135.0,135.0,135.0,135.0,135.0,135.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,137.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,139.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0
Bulgaria,Europe,https://www.countryflags.io/bg/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,7.0,23.0,31.0,41.0,51.0,62.0,81.0,92.0,105.0,127.0,163.0,185.0,201.0,220.0,242.0,264.0,293.0,331.0,346.0,359.0,399.0,422.0,457.0,485.0,503.0,531.0,549.0,577.0,593.0,624.0,635.0,661.0,675.0,685.0,713.0,747.0,800.0,846.0,878.0,915.0,929.0,975.0,1024.0,1097.0,1188.0,1247.0,1300.0,1363.0,1399.0,1447.0,1506.0,1588.0,1594.0,1618.0,1652.0,1689.0,1778.0,1829.0,1911.0,1955.0,1965.0,1990.0,2023.0,2069.0,2100.0,2138.0,2211.0,2235.0,2259.0,2292.0,2331.0,2372.0,2408.0,2408.0
Burkina Faso,Africa,https://www.countryflags.io/bf/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,3.0,3.0,20.0,20.0,26.0,33.0,40.0,64.0,64.0,75.0,99.0,114.0,146.0,146.0,180.0,180.0,222.0,246.0,261.0,288.0,288.0,302.0,345.0,364.0,384.0,414.0,443.0,448.0,484.0,497.0,515.0,528.0,542.0,543.0,557.0,565.0,576.0,581.0,600.0,609.0,616.0,626.0,629.0,632.0,635.0,638.0,641.0,645.0,649.0,652.0,662.0,672.0,688.0,729.0,736.0,744.0,748.0,751.0,760.0,766.0,773.0,773.0,782.0,782.0,796.0,796.0,806.0,809.0,812.0,814.0,814.0
Burundi,Africa,https://www.countryflags.io/bi/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,27.0,27.0,27.0,27.0,27.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Cabo Verde,Africa,https://www.countryflags.io/cv/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,11.0,55.0,55.0,56.0,58.0,61.0,67.0,67.0,73.0,82.0,88.0,90.0,106.0,109.0,113.0,113.0,121.0,123.0,152.0,165.0,175.0,186.0,191.0,218.0,230.0,236.0,246.0,260.0,270.0,289.0,315.0,326.0,328.0,328.0,328.0,335.0,349.0,356.0,362.0,371.0
Cambodia,Asia,https://www.countryflags.io/kh/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,3.0,5.0,,7.0,12.0,24.0,24.0,24.0,24.0,47.0,51.0,86.0,87.0,91.0,96.0,98.0,102.0,103.0,107.0,109.0,109.0,110.0,114.0,114.0,114.0,114.0,115.0,117.0,118.0,119.0,120.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,123.0,124.0,124.0
Cameroon,Africa,https://www.countryflags.io/cm/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,3.0,4.0,4.0,10.0,10.0,14.0,27.0,27.0,27.0,56.0,72.0,72.0,88.0,88.0,99.0,99.0,142.0,193.0,233.0,271.0,509.0,555.0,650.0,658.0,685.0,730.0,730.0,803.0,820.0,820.0,820.0,855.0,855.0,855.0,1016.0,1016.0,1016.0,1017.0,1163.0,1163.0,1401.0,1403.0,1518.0,1621.0,1621.0,1806.0,1832.0,1832.0,2069.0,2077.0,2077.0,2104.0,2104.0,2265.0,2265.0,2265.0,2274.0,2579.0,2689.0,2689.0,2800.0,2954.0,3105.0,3292.0,3292.0,3292.0,3529.0,3733.0,4288.0,4400.0,4597.0
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,12.0,14.0,16.0,20.0,24.0,27.0,30.0,33.0,45.0,51.0,57.0,62.0,77.0,93.0,103.0,138.0,176.0,244.0,304.0,424.0,569.0,690.0,846.0,971.0,1302.0,1430.0,1646.0,1959.0,3385.0,4018.0,4675.0,5386.0,6255.0,7424.0,8536.0,9595.0,11268.0,12519.0,13882.0,15496.0,16653.0,17883.0,19274.0,20748.0,22133.0,23301.0,24365.0,25663.0,27046.0,28364.0,30081.0,31872.0,33341.0,34777.0,36823.0,38413.0,40179.0,42099.0,43877.0,45341.0,46884.0,48489.0,50015.0,51587.0,53236.0,55061.0,56714.0,59474.0,60772.0,62046.0,63496.0,64922.0,66434.0,67702.0,68848.0,69981.0,71157.0,72278.0,73401.0,74602.0,75853.0,76991.0,78061.0,79101.0,80091.0,81313.0,82469.0,83610.0
Cayman Islands,Americas,https://www.countryflags.io/ky/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,8.0,8.0,8.0,12.0,14.0,22.0,28.0,29.0,35.0,39.0,39.0,45.0,45.0,45.0,45.0,53.0,53.0,53.0,54.0,60.0,61.0,61.0,61.0,61.0,66.0,66.0,66.0,66.0,66.0,70.0,70.0,70.0,70.0,73.0,73.0,74.0,74.0,74.0,75.0,75.0,78.0,78.0,81.0,81.0,81.0,84.0,85.0,85.0,93.0,93.0,94.0,94.0,94.0,111.0,111.0,111.0,121.0,129.0
Central African Republic,Africa,https://www.countryflags.io/cf/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,14.0,16.0,17.0,19.0,19.0,19.0,50.0,50.0,50.0,50.0,72.0,72.0,72.0,94.0,94.0,94.0,94.0,143.0,143.0,179.0,179.0,179.0,197.0,221.0,301.0,327.0,327.0,336.0,411.0,411.0,436.0,479.0,552.0
Chad,Africa,https://www.countryflags.io/td/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,15.0,23.0,23.0,27.0,27.0,33.0,33.0,33.0,33.0,34.0,34.0,40.0,40.0,40.0,46.0,46.0,52.0,52.0,73.0,73.0,117.0,117.0,117.0,170.0,170.0,253.0,260.0,322.0,322.0,322.0,357.0,372.0,399.0,428.0,474.0,503.0,519.0,545.0,565.0,588.0,611.0,648.0
Chile,Americas,https://www.countryflags.io/cl/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,5.0,,10.0,13.0,17.0,23.0,33.0,43.0,61.0,75.0,156.0,201.0,238.0,342.0,434.0,537.0,632.0,746.0,922.0,1142.0,1306.0,1610.0,1909.0,2139.0,2449.0,2738.0,3031.0,3404.0,3737.0,4161.0,4471.0,4815.0,5116.0,5546.0,5972.0,6501.0,6927.0,7213.0,7525.0,7917.0,8273.0,8807.0,9252.0,9730.0,10088.0,10507.0,10832.0,11296.0,11812.0,12306.0,12858.0,13331.0,13813.0,14365.0,14885.0,16023.0,17008.0,18435.0,19663.0,20643.0,22016.0,23048.0,24581.0,25972.0,27219.0,28866.0,30063.0,31721.0,34381.0,37040.0,39542.0,41428.0,43781.0,46059.0,49579.0,53617.0,57581.0,61857.0,65393.0
China,Asia,https://www.countryflags.io/cn/flat/64.png,27.0,27.0,27.0,44.0,44.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,63.0,80.0,216.0,235.0,386.0,526.0,623.0,882.0,1323.0,1988.0,2775.0,4528.0,5994.0,7734.0,9714.0,11809.0,14399.0,17211.0,20448.0,24320.0,28047.0,31207.0,34625.0,37232.0,40206.0,42696.0,44724.0,59865.0,64021.0,66559.0,68566.0,70618.0,72508.0,74258.0,74652.0,75543.0,76369.0,77016.0,77234.0,77749.0,78159.0,78598.0,78927.0,79355.0,79929.0,80134.0,80261.0,80380.0,80497.0,80667.0,80768.0,80814.0,80859.0,80879.0,80908.0,80932.0,80954.0,80973.0,80995.0,81020.0,81063.0,81086.0,81130.0,81229.0,81281.0,81346.0,81484.0,81553.0,81631.0,81733.0,81827.0,81946.0,82059.0,82157.0,82241.0,82295.0,82395.0,82465.0,82527.0,82575.0,82642.0,82698.0,82784.0,82870.0,82925.0,83004.0,83097.0,83209.0,83303.0,83352.0,83402.0,83754.0,83785.0,83803.0,83817.0,83849.0,83864.0,83876.0,83884.0,83899.0,83909.0,83912.0,83938.0,83940.0,83944.0,83956.0,83959.0,83961.0,83964.0,83966.0,83968.0,83970.0,83976.0,83976.0,83991.0,84010.0,84011.0,84018.0,84024.0,84029.0,84038.0,84044.0,84054.0,84063.0,84065.0,84067.0,84079.0,84081.0,84084.0
Colombia,Americas,https://www.countryflags.io/co/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,0.0,16.0,34.0,45.0,57.0,65.0,102.0,128.0,158.0,210.0,235.0,306.0,378.0,470.0,491.0,539.0,608.0,702.0,798.0,906.0,1065.0,1161.0,1267.0,1406.0,1485.0,1579.0,1780.0,2054.0,2223.0,2473.0,2709.0,2776.0,2852.0,2979.0,3105.0,3233.0,3439.0,3621.0,3792.0,3977.0,4149.0,4356.0,4561.0,4881.0,5142.0,5379.0,5597.0,5949.0,6211.0,6507.0,7006.0,7285.0,7668.0,7973.0,8613.0,8959.0,9456.0,10051.0,10495.0,11063.0,11613.0,12272.0,12930.0,13610.0,14216.0,14939.0,15574.0,16295.0,16935.0,17687.0,18330.0,19131.0,20177.0
Comoros,Africa,https://www.countryflags.io/km/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,4.0,4.0,8.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,34.0,34.0,34.0,78.0,78.0
"Congo, Dem. Rep.",Africa,https://www.countryflags.io/cd/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,3.0,3.0,14.0,14.0,14.0,23.0,26.0,26.0,45.0,45.0,54.0,58.0,58.0,81.0,98.0,98.0,123.0,123.0,134.0,154.0,154.0,161.0,180.0,183.0,215.0,223.0,234.0,234.0,235.0,254.0,267.0,287.0,307.0,327.0,332.0,350.0,359.0,377.0,394.0,416.0,442.0,459.0,471.0,491.0,500.0,572.0,604.0,674.0,684.0,684.0,705.0,863.0,897.0,937.0,991.0,1024.0,1102.0,1169.0,1242.0,1298.0,1369.0,1454.0,1454.0,1629.0,1731.0,1835.0,1945.0,2025.0,2141.0
"Congo, Rep.",Africa,https://www.countryflags.io/cg/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,22.0,22.0,41.0,41.0,45.0,45.0,45.0,45.0,60.0,60.0,60.0,60.0,70.0,70.0,74.0,117.0,117.0,143.0,143.0,160.0,160.0,165.0,186.0,186.0,200.0,200.0,200.0,207.0,207.0,220.0,220.0,229.0,229.0,229.0,236.0,236.0,264.0,274.0,287.0,287.0,287.0,333.0,333.0,341.0,391.0,391.0,412.0,412.0,412.0,420.0,420.0,469.0,469.0,487.0
Costa Rica,Americas,https://www.countryflags.io/cr/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,9.0,13.0,22.0,23.0,26.0,27.0,35.0,41.0,50.0,69.0,87.0,113.0,117.0,134.0,158.0,177.0,201.0,231.0,263.0,295.0,314.0,330.0,347.0,375.0,396.0,416.0,435.0,454.0,467.0,483.0,502.0,539.0,558.0,577.0,595.0,612.0,618.0,626.0,642.0,649.0,655.0,660.0,662.0,669.0,681.0,687.0,687.0,693.0,695.0,697.0,705.0,713.0,719.0,725.0,733.0,739.0,742.0,755.0,761.0,765.0,773.0,780.0,792.0,801.0,804.0,815.0,830.0,843.0,853.0,863.0,866.0,882.0,897.0,903.0,911.0,918.0
Cote d'Ivoire,Africa,https://www.countryflags.io/ci/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,4.0,5.0,5.0,6.0,9.0,14.0,17.0,25.0,25.0,73.0,80.0,96.0,101.0,140.0,165.0,168.0,168.0,190.0,194.0,218.0,245.0,261.0,323.0,349.0,384.0,444.0,480.0,533.0,574.0,626.0,626.0,654.0,688.0,742.0,801.0,847.0,879.0,916.0,952.0,1004.0,1077.0,1111.0,1150.0,1164.0,1183.0,1238.0,1275.0,1333.0,1362.0,1398.0,1432.0,1464.0,1516.0,1571.0,1602.0,1667.0,1700.0,1730.0,1857.0,1912.0,1971.0,2017.0,2061.0,2109.0,2119.0,2153.0,2231.0,2231.0,2301.0,2366.0
Croatia,Europe,https://www.countryflags.io/hr/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,7.0,8.0,9.0,0.0,10.0,11.0,12.0,0.0,0.0,13.0,16.0,25.0,31.0,37.0,48.0,56.0,69.0,81.0,104.0,126.0,206.0,235.0,306.0,382.0,418.0,495.0,586.0,657.0,713.0,790.0,867.0,963.0,1011.0,1079.0,1126.0,1182.0,1222.0,1282.0,1343.0,1407.0,1495.0,1534.0,1600.0,1650.0,1704.0,1741.0,1791.0,1814.0,1832.0,1871.0,1881.0,1908.0,1950.0,1981.0,2009.0,2016.0,2030.0,2039.0,2047.0,2062.0,2076.0,2085.0,2088.0,2096.0,2101.0,2112.0,2119.0,2125.0,2161.0,2176.0,2187.0,2196.0,2207.0,2213.0,2221.0,2222.0,2224.0,2226.0,2228.0,2232.0,2234.0,2237.0,2243.0,2243.0
Cuba,Americas,https://www.countryflags.io/cu/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,4.0,,,7.0,11.0,16.0,21.0,25.0,35.0,40.0,48.0,57.0,67.0,80.0,119.0,139.0,170.0,186.0,212.0,233.0,269.0,288.0,320.0,350.0,396.0,457.0,515.0,564.0,620.0,669.0,726.0,766.0,814.0,862.0,923.0,986.0,1035.0,1087.0,1137.0,1189.0,1235.0,1285.0,1337.0,1369.0,1389.0,1437.0,1467.0,1501.0,1537.0,1611.0,1649.0,1668.0,1685.0,1703.0,1729.0,1741.0,1754.0,1766.0,1783.0,1804.0,1810.0,1830.0,1840.0,1862.0,1872.0,1881.0,1887.0,1900.0,1908.0,1916.0,1931.0
Curacao,Americas,https://www.countryflags.io/cw/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,6.0,,6.0,7.0,8.0,8.0,9.0,,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
