0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,Days
20,41,50,55,64,77,92,157,197,325,472,615,866,"1,150","1,502","2,078","2,639","3,228","3,956","4,649","5,677","6,639","7,900","9,173","10,395","12,252","13,967","15,803","17,745","19,747","22,036","23,549","26,609","28,746","31,735","35,213","38,143","40,676","42,788","45,624","48,473","51,038","52,197","54,298","56,026","57,519","58,860","59,924","61,583","62,811","64,368","65,006","66,543","67,186","68,165","69,184","69,910","70,484","70,976","71,427","71,828","72,318","72,716","73,265","73,668","74,189","74,506","74,776","74,965","75,016","75,131","75,355","75,484","75,609","75,669","75,739","75,703","75,838","75,870","75,887","75,999","75,985","76,080","76,116","75,646","75,173","75,241","75,263","75,212","75,231","75,327","75,262","75,293","75,359","75,371","75,371","75,382","75,388","75,393","75,457","75,471","75,476","75,484","75,496","75,402",All
13,32,39,42,45,49,54,90,105,163,228,288,371,439,536,721,877,"1,046","1,233","1,379","1,844","2,095","2,524","2,923","3,363","4,229","4,909","5,520","6,240","7,046","8,058","8,696","10,352","11,639","13,392","15,826","17,578","19,358","20,703","22,636","24,890","26,371","27,070","28,528","29,875","30,971","31,912","32,712","34,095","35,197","36,463","37,054","38,400","38,957","39,839","40,766","41,389","41,892","42,355","42,788","43,214","43,687","44,068","44,591","44,951","45,421","45,735","46,002","46,175","46,320","46,461","46,611","46,794","46,863","46,922","46,991","47,036","47,085","47,112","47,129","47,186","47,211","47,250","47,283","46,818","46,342","46,355","46,359","46,362","46,367","46,395","46,417","46,441","46,452","46,464","46,464","46,464","46,464","46,464","46,464","46,464","46,464","46,464","46,464","46,464",Wuhan
0,0,0,0,0,0,0,2,2,2,2,4,6,17,24,39,47,81,139,179,204,255,313,360,435,523,568,674,771,885,"1,055","1,144","1,328","1,381","1,622","1,795","2,047","2,181","2,336","2,519","2,637","2,821","2,881","2,972","3,024","3,057","3,111","3,136","3,179","3,204","3,237","3,245","3,262","3,274","3,292","3,322","3,349","3,360","3,366","3,369","3,376","3,380","3,383","3,386","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389","3,389",Xiaogan
0,0,2,2,2,2,3,6,14,27,32,39,52,61,72,105,137,194,285,340,415,511,611,716,814,941,"1,051","1,149","1,274","1,378","1,521","1,619","1,763","1,843","1,951","2,041","2,119","2,161","2,230","2,322","2,375","2,472","2,508","2,582","2,631","2,641","2,659","2,677","2,707","2,720","2,730","2,734","2,746","2,760","2,778","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782","2,782",Huanggang
0,0,0,0,1,1,1,4,1,3,5,7,10,18,23,31,38,46,57,80,100,161,193,263,297,339,405,451,531,594,671,716,777,817,868,913,965,"1,020","1,075","1,132","1,180","1,269","1,308","1,350","1,376","1,410","1,431","1,438","1,452","1,464","1,474","1,479","1,489","1,496","1,499","1,502","1,517","1,524","1,525","1,525","1,526","1,527","1,527","1,527","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528","1,528",Jingzhou
0,0,0,0,0,0,0,0,0,0,2,4,6,8,9,21,46,48,61,72,92,116,199,222,240,267,299,350,375,384,413,451,498,538,613,685,747,777,804,834,860,917,926,956,989,"1,030","1,079","1,111","1,171","1,184","1,212","1,242","1,274","1,280","1,289","1,298","1,303","1,315","1,319","1,325","1,327","1,328","1,330","1,332","1,332","1,332","1,334","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335","1,335",Ezhou
01-24,01-25,01-26,01-27,01-28,01-29,01-30,01-31,02-01,02-02,02-03,02-04,02-05,02-06,02-07,02-08,02-09,02-10,02-11,02-12,02-13,02-14,02-15,02-16,02-17,02-18,02-19,02-20,02-21,02-22,02-23,02-24,02-25,02-26,02-27,02-28,02-29,03-01,03-02,03-03,03-04,03-05,03-06,03-07,03-08,03-09,03-10,03-11,03-12,03-13,03-14,03-15,03-16,03-17,03-18,03-19,03-20,03-21,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07,city
