0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,Days
6,42,55,77,104,130,152,211,257,303,359,423,488,555,632,718,796,904,"1,010","1,106","1,321","1,385","1,510","1,651","1,735","1,850","1,977","2,100","2,218","2,302","2,409","2,524","2,646","2,691","2,725","2,767","2,812","2,844","2,875","2,919","2,960","2,995","3,014","3,052","3,079","3,101","3,118","3,132","3,151","3,157","3,171","3,176","3,194","3,204","3,216","3,227","3,231","3,237","3,242","3,252","3,262","3,266","3,272","3,277","3,280","3,285","3,289","3,290","3,296","3,302","3,306","3,310","3,313","3,314","3,315","3,316","3,318","3,318","3,322","3,322","3,324","3,324","3,325","3,325","4,292","4,615","4,615","4,615","4,615","4,615","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,616","4,615","4,615",All
2,36,44,61,85,104,118,159,192,224,265,313,362,410,478,545,600,681,748,820,"1,005","1,031","1,123","1,233","1,294","1,381","1,488","1,585","1,684","1,754","1,844","1,943","2,043","2,080","2,104","2,132","2,169","2,195","2,216","2,246","2,282","2,305","2,320","2,349","2,370","2,389","2,404","2,417","2,430","2,436","2,446","2,451","2,469","2,476","2,488","2,496","2,499","2,504","2,508","2,517","2,524","2,526","2,531","2,535","2,538","2,543","2,547","2,548","2,553","2,559","2,563","2,567","2,570","2,571","2,571","2,572","2,574","2,575","2,577","2,577","2,579","2,579","2,579","2,579","3,547","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869","3,869",Wuhan
0,0,0,0,1,3,5,9,12,14,14,17,18,24,25,26,29,33,41,45,48,57,62,65,69,75,81,89,94,97,101,106,110,113,113,114,115,117,119,120,120,121,122,123,125,126,126,126,126,126,126,126,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,Xiaogan
0,0,2,3,4,5,9,12,14,15,17,19,25,29,32,36,42,45,52,54,57,59,68,75,77,84,85,87,90,94,98,101,106,107,110,114,115,115,116,118,120,121,122,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,Huanggang
0,0,0,0,0,1,2,6,9,13,15,18,18,18,18,20,21,24,26,28,30,32,33,34,35,36,37,38,39,39,40,40,41,41,42,43,44,46,48,48,49,52,53,54,54,54,54,54,55,55,57,57,57,57,57,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,Ezhou
0,0,2,2,2,2,3,3,4,4,6,7,9,10,10,11,13,15,17,21,23,27,32,36,37,38,38,40,40,40,41,42,42,44,45,46,46,46,47,48,48,48,48,48,49,49,49,49,49,49,50,50,50,50,50,50,50,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,Jingzhou
01-24,01-25,01-26,01-27,01-28,01-29,01-30,01-31,02-01,02-02,02-03,02-04,02-05,02-06,02-07,02-08,02-09,02-10,02-11,02-12,02-13,02-14,02-15,02-16,02-17,02-18,02-19,02-20,02-21,02-22,02-23,02-24,02-25,02-26,02-27,02-28,02-29,03-01,03-02,03-03,03-04,03-05,03-06,03-07,03-08,03-09,03-10,03-11,03-12,03-13,03-14,03-15,03-16,03-17,03-18,03-19,03-20,03-21,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,04-26,04-27,04-28,04-29,04-30,05-01,05-02,05-03,05-04,05-05,05-06,05-07,city
