0,2,6,9,15,18,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,90,91,93,95,96,99,101,103,104,106,107,108,118,121,124,135,136,137,138,Days
1190,1220,1268,1290,1435,1807,2001,2305,2422,2601,2753,2914,3106,3303,3460,3638,3799,3971,4125,4280,4409,4560,4698,4805,4884,4948,5013,5086,5124,5163,5191,5209,5233,5236,5248,5249,5271,5285,5309,5316,5316,5322,5323,5325,5328,5328,5328,5328,5329,5329,5329,5329,5330,5328,5328,5328,5329,5328,5327,5327,5327,5326,5326,5326,5326,5326,5326,5326,5326,5326,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,5327,all
12,12,19,22,37,37,482,693,774,877,988,1114,1199,1347,1440,1553,1636,1741,1803,1897,1960,2049,2136,2177,2227,2265,2304,2347,2370,2388,2405,2420,2434,2437,2444,2444,2456,2465,2490,2499,2504,2512,2514,2517,2520,2521,2522,2522,2522,2522,2522,2522,2523,2522,2522,2522,2523,2523,2522,2522,2522,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521,Beijing
1153,1153,1203,1213,1273,1273,1317,1344,1359,1374,1379,1382,1395,1399,1405,1412,1421,1432,1441,1453,1465,1478,1485,1502,1504,1506,1509,1509,1510,1513,1515,1514,1514,1514,1514,1513,1513,1513,1513,1513,1513,1512,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,Guangdong
4,4,24,32,82,82,120,157,162,173,195,214,243,266,299,307,311,329,339,360,369,378,391,400,410,416,420,431,435,442,443,443,445,444,445,445,447,447,450,449,450,450,450,450,450,450,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,Shanxi
17,17,17,17,17,17,30,36,47,70,74,76,114,120,127,154,180,190,225,230,251,258,266,284,289,288,288,288,288,288,288,290,289,286,287,285,285,286,286,286,286,285,285,284,284,284,284,284,284,284,284,284,284,283,283,283,283,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,Inner Mongolia
0,0,0,0,0,0,0,6,6,18,21,27,30,39,48,56,70,79,98,107,113,134,147,156,157,166,177,191,194,200,202,202,210,214,217,221,227,228,223,222,216,216,216,216,216,215,216,216,216,216,216,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,Hebei
2003-03-31,2003-04-02,2003-04-06,2003-04-09,2003-4-15,2003-04-18,2003-04-21,2003-4-22,2003-4-23,2003-4-24,2003-4-26,2003-04-27,2003-04-28,2003-04-29,2003-04-30,2003-05-01,2003-05-02,2003-05-03,2003-05-04,2003-05-05,2003-05-06,2003-05-07,2003-05-08,2003-05-09,2003-05-10,2003-05-11,2003-05-12,2003-05-13,2003-05-14,2003-05-15,2003-05-16,2003-05-17,2003-05-18,2003-05-19,2003-05-20,2003-05-21,2003-05-22,2003-05-23,2003-05-24,2003-05-25,2003-05-26,2003-05-27,2003-05-28,2003-05-29,2003-05-30,2003-05-31,2003-06-01,2003-06-02,2003-06-03,2003-06-04,2003-06-05,2003-06-06,2003-06-07,2003-06-08,2003-06-09,2003-06-10,2003-06-11,2003-06-12,2003-06-13,2003-06-14,2003-06-15,2003-06-16,2003-06-17,2003-06-18,2003-06-19,2003-06-20,2003-06-21,2003-06-22,2003-06-23,2003-06-24,2003-6-25,2003-6-26,2003-6-28,2003-06-29,2003-06-30,2003-07-02,2003-07-04,2003-07-05,2003-07-08,2003-07-10,2003-07-12,2003-07-13,2003-07-15,2003-07-16,2003-07-17,2003-07-27,2003-07-30,2003-08-02,2003-08-13,2003-08-14,2003-08-15,2003-08-16,province
2003-03-31,2003-04-02,2003-04-06,2003-04-09,2003-04-15 12:00,2003-04-18,2003-04-21,2003-04-22 20:00,2003-04-23 20:00,2003-04-24 20:00,2003-04-26 10:00,2003-04-27 10:00,2003-04-28 10:00,2003-04-29 10:00,2003-04-30 10:00,2003-05-01 10:00,2003-05-02 10:00,2003-05-03 10:00,2003-05-04 10:00,2003-05-05 10:00,2003-05-06 10:00,2003-05-07 10:00,2003-05-08 10:00,2003-05-09 10:00,2003-05-10 10:00,2003-05-11 10:00,2003-05-12 10:00,2003-05-13 10:00,2003-05-14 10:00,2003-05-15 10:00,2003-05-16 10:00,2003-05-17 10:00,2003-05-18 10:00,2003-05-19 10:00,2003-05-20 10:00,2003-05-21 10:00,2003-05-22 10:00,2003-05-23 10:00,2003-05-24 10:00,2003-05-25 10:00,2003-05-26 10:00,2003-05-27 10:00,2003-05-28 10:00,2003-05-29 10:00,2003-05-30 10:00,2003-05-31 10:00,2003-06-01 10:00,2003-06-02 10:00,2003-06-03 10:00,2003-06-04 10:00,2003-06-05 10:00,2003-06-06 10:00,2003-06-07 10:00,2003-06-08 10:00,2003-06-09 10:00,2003-06-10 10:00,2003-06-11 10:00,2003-06-12 10:00,2003-06-13 10:00,2003-06-14 10:00,2003-06-15 10:00,2003-06-16 10:00,2003-06-17 10:00,2003-06-18 10:00,2003-06-19 10:00,2003-06-20 10:00,2003-06-21 10:00,2003-06-22 10:00,2003-06-23 10:00,2003-06-24 10:00,2003-06-25 16:00,2003-06-26 16:00,2003-06-28 16:00,2003-06-29 10:00,2003-06-30 10:00,2003-07-02 10:00,2003-07-04 10:00,2003-07-05 10:00,2003-07-08 10:00,2003-07-10 10:00,2003-07-12 10:00,2003-07-13 10:00,2003-07-15 10:00,2003-07-16 10:00,2003-07-17 10:00,2003-07-27 10:00,2003-07-30 10:00,2003-08-02 10:00,2003-08-13 10:00,2003-08-14 10:00,2003-08-15 10:00,2003-08-16 10:00,province
