Date,Latitude,Longitude,city_confirmedCount,city_curedCount,city_deadCount,city_suspectedCount,cityEnglishName
05-07,26.2367951,117.6038491,14.0,14.0,0.0,0.0,Sanming
05-07,33.8678555,109.9353876,7.0,7.0,0.0,0.0,Shangluo
05-07,23.356377,116.6775918,26.0,26.0,0.0,0.0,Shantou
05-07,22.7893675,115.3721503,5.0,5.0,0.0,0.0,Shanwei
05-07,24.8134099,113.5923564,10.0,9.0,1.0,0.0,Shaoguan
05-07,22.555454,114.0543297,462.0,458.0,3.0,1.0,Shenzhen
05-07,39.9046102,116.216797,14.0,9.0,0.0,0.0,Shijingshan District
05-07,46.522721,132.645516,52.0,49.0,3.0,0.0,Shuangyashan
05-07,40.158330600000006,116.72011452233473,10.0,10.0,0.0,0.0,Shunyi District
05-07,39.3307915,112.4235469,8.0,8.0,0.0,0.0,Shuozhou
05-07,31.02959325,121.21083753446176,14.0,14.0,0.0,0.0,Songjiang District
05-07,46.6520483,126.9607485,47.0,43.0,4.0,0.0,Suihua
05-07,33.9564492,118.2945375,13.0,13.0,0.0,0.0,Suqian
05-07,31.3016935,120.5810725,87.0,87.0,0.0,0.0,Suzhou
05-07,37.8561856,112.5561744,21.0,20.0,0.0,0.0,Taiyuan
05-07,32.4614944,119.913445,37.0,37.0,0.0,0.0,Taizhou
05-07,34.9034852,108.9461781,8.0,8.0,0.0,0.0,Tongchuan
05-07,43.6392011,122.2497308,7.0,7.0,0.0,0.0,Tongliao
05-07,39.8115124,116.72847046526287,19.0,1.0,0.0,0.0,Tongzhou District
05-07,40.9902685,113.1315646,3.0,3.0,0.0,0.0,Ulanqab
05-07,34.5037437,109.4572848,15.0,15.0,0.0,0.0,Weinan
05-07,39.6540161,106.7879045,2.0,2.0,0.0,0.0,Wuhai
05-07,31.5776264,120.2951311,55.0,55.0,0.0,0.0,Wuxi
05-07,34.3468421,108.93658870000002,120.0,117.0,3.0,0.0,Xi'an
05-07,24.4758496,118.0746834,35.0,35.0,0.0,0.0,Xiamen
05-07,34.3075655,108.7234362,17.0,17.0,0.0,0.0,Xianyang
05-07,39.91086720000001,116.3599221,53.0,0.0,0.0,0.0,Xicheng District
05-07,38.4139173,112.730463,7.0,7.0,0.0,0.0,Xinzhou
05-07,31.163698,121.4279938,18.0,17.0,1.0,0.0,Xuhui District
05-07,34.2665541,117.1809741,79.0,79.0,0.0,0.0,Xuzhou
05-07,36.58539320000001,109.4828549,8.0,8.0,0.0,0.0,Yan'an
05-07,33.3939707,120.1349541,27.0,27.0,0.0,0.0,Yancheng
05-07,21.8526328,111.95935,14.0,14.0,0.0,0.0,Yangjiang
05-07,34.271725,108.0800183,1.0,1.0,0.0,0.0,Yangling District in Xianyang
05-07,31.2620112,121.5214305,9.0,9.0,0.0,0.0,Yangpu District
05-07,37.85862,113.5730276,4.0,4.0,0.0,0.0,Yangquan
05-07,32.3926973,119.4365759,23.0,23.0,0.0,0.0,Yangzhou
05-07,36.6243585,120.4342057,1.0,0.0,0.0,0.0,Yanqing District
05-07,47.9433709,129.1847514,1.0,1.0,0.0,0.0,Yichun
05-07,38.285295700000006,109.72875829999998,3.0,3.0,0.0,0.0,Yulin
05-07,35.027637,111.002141,19.0,19.0,0.0,0.0,Yuncheng
05-07,24.5081859,117.6496027,20.0,20.0,0.0,0.0,Zhangzhou
05-07,21.2745127,110.3541291,24.0,24.0,0.0,2.0,Zhanjiang
05-07,23.0515551,112.4728451,20.0,19.0,1.0,0.0,Zhaoqing
05-07,32.2139599,119.458012,12.0,12.0,0.0,0.0,Zhenjiang
05-07,22.5213807,113.3656141,69.0,69.0,0.0,0.0,Zhongshan
05-07,22.2305196,113.5462439,103.0,102.0,1.0,1.0,Zhuhai
05-06,32.7165184,108.9912989,26.0,26.0,0.0,0.0,Ankang
05-06,34.364581099999995,107.2332184,13.0,13.0,0.0,0.0,Baoji
05-06,40.6549157,109.8344586,11.0,11.0,0.0,0.0,Baotou
05-06,40.7411867,107.3826113,8.0,7.0,1.0,0.0,Bayannur
05-06,45.7774951,127.6646783,15.0,15.0,0.0,0.0,Binzhou
05-06,40.2141429,116.17226818841999,29.0,10.0,0.0,0.0,Changping District
05-06,36.1829336,113.0985394,8.0,8.0,0.0,0.0,Changzhi
05-06,39.92044979999999,116.43691090000002,75.0,0.0,0.0,0.0,Chaoyang District
05-06,23.6566146,116.6205482,6.0,6.0,0.0,0.0,Chaozhou
05-06,42.2799929,118.9426131,9.0,9.0,0.0,0.0,Chifeng
05-06,46.5969028,125.1014811,27.0,25.0,1.0,0.0,Daqing
05-06,40.0921758,113.2950953,12.0,12.0,0.0,0.0,Datong
05-06,39.63606985,116.46452139471874,39.0,16.0,0.0,0.0,Daxing District
05-06,52.3413513,124.5619384,3.0,3.0,0.0,0.0,Daxinganling
05-06,37.4486676,116.305416,37.0,35.0,2.0,0.0,Dezhou
05-06,39.9269012,116.4100395,14.0,1.0,0.0,0.0,Dongcheng District
05-06,23.0444712,113.7465512,100.0,99.0,1.0,0.0,Dongguan
05-06,39.7145318,115.86050079650428,16.0,3.0,0.0,0.0,Fangshan District
05-06,39.8571176,116.2804172,43.0,3.0,0.0,0.0,Fengtai District
05-06,23.0247687,113.1146335,100.0,97.0,0.0,1.0,Foshan
05-06,23.1301964,113.2592945,504.0,499.5,1.0,4.0,Guangzhou
05-06,39.9580718,116.292405,64.0,0.0,0.0,0.0,Haidian District
05-06,35.47625189999999,110.4508029,1.0,1.0,0.0,0.0,Hancheng
05-06,33.069049,107.018889,26.0,26.0,0.0,0.0,Hanzhong
05-06,45.7656666,126.6160584,263.0,221.0,4.0,8.0,Harbin
05-06,47.3355856,130.28367179999998,5.0,5.0,0.0,0.0,Hegang
05-06,48.00000470000001,127.999992,14.0,14.0,0.0,0.0,Heihe
05-06,23.746777,114.6954482,5.0,5.0,0.0,0.0,Heyuan
05-06,35.2477266,115.4464761,18.0,18.0,0.0,0.0,Heze
05-06,40.8337963,111.6730788,7.0,7.0,0.0,0.0,Hohhot
05-06,40.64575865000001,116.624596525,7.0,0.0,0.0,0.0,Huairou District
05-06,29.831086100000004,118.3358441,62.0,62.0,0.0,0.0,Huizhou
05-06,49.2187995,119.7431228,9.0,8.0,0.0,0.0,Hulunbuir
05-06,46.8087794,130.3734556,15.0,15.0,0.0,0.0,Jiamusi
05-06,22.5766294,113.079047,24.0,24.0,0.0,0.0,Jiangmen
05-06,23.5430817,116.3497169,11.0,11.0,0.0,0.0,Jieyang
05-06,36.6507007,117.1140042,47.0,47.0,0.0,0.0,Jinan
05-06,35.493783,112.8519862,10.0,10.0,0.0,0.0,Jincheng
05-06,35.4125047,116.5849266,260.0,260.0,0.0,0.0,Jining
05-06,37.68667960000001,112.7383414,37.0,37.0,0.0,0.0,Jinzhong
05-06,45.2928513,130.9619259,46.0,46.0,0.0,0.0,Jixi
05-06,36.4441808,115.9642007,38.0,38.0,0.0,0.0,Liaocheng
05-06,36.0885338,111.512998,2.0,2.0,0.0,0.0,Linfen
05-06,38.554469,14.825471,49.0,49.0,0.0,0.0,Linyi
05-06,37.5200946,111.1444891,6.0,6.0,0.0,0.0,Lüliang
05-06,21.6656562,110.9196315,14.0,14.0,0.0,0.0,Maoming
05-06,24.3053552,116.1177436,17.0,17.0,0.0,0.0,Meizhou
05-06,39.9938234,115.79514457510444,3.0,2.0,0.0,0.0,Mentougou District
05-06,40.3751032,116.8371838,7.0,0.0,0.0,0.0,Miyun District
05-06,44.5498406,129.6259558,25.0,16.0,0.0,0.0,Mudanjiang
05-06,39.60814570000001,109.7763659,11.0,11.0,0.0,0.0,Ordos
05-06,36.0638034,120.3781372,65.0,61.0,1.0,0.0,Qingdao
05-06,23.6832984,113.0505994,12.0,12.0,0.0,0.0,Qingyuan
05-06,47.3523672,123.9164653,43.0,42.0,1.0,0.0,Qiqihar
05-06,45.7700345,131.0074987,17.0,17.0,0.0,0.0,Qitaihe
05-06,35.4150703,119.52145120000002,16.0,16.0,0.0,0.0,Rizhao
05-06,33.8678555,109.9353876,7.0,7.0,0.0,0.0,Shangluo
05-06,23.356377,116.6775918,26.0,26.0,0.0,0.0,Shantou
05-06,22.7893675,115.3721503,5.0,5.0,0.0,0.0,Shanwei
05-06,24.8134099,113.5923564,10.0,9.0,1.0,0.0,Shaoguan
05-06,22.555454,114.0543297,462.0,457.0,3.0,1.0,Shenzhen
05-06,39.9046102,116.216797,14.0,9.0,0.0,0.0,Shijingshan District
05-06,46.522721,132.645516,52.0,49.0,3.0,0.0,Shuangyashan
05-06,40.158330600000006,116.72011452233473,10.0,10.0,0.0,0.0,Shunyi District
05-06,39.3307915,112.4235469,8.0,8.0,0.0,0.0,Shuozhou
05-06,46.6520483,126.9607485,47.0,43.0,4.0,0.0,Suihua
05-06,36.2002968,117.0809316,35.0,33.0,2.0,0.0,Tai'an
05-06,37.8561856,112.5561744,21.0,20.0,0.0,0.0,Taiyuan
05-06,34.9034852,108.9461781,8.0,8.0,0.0,0.0,Tongchuan
05-06,43.6392011,122.2497308,7.0,7.0,0.0,0.0,Tongliao
05-06,39.8115124,116.72847046526287,19.0,1.0,0.0,0.0,Tongzhou District
05-06,40.9902685,113.1315646,3.0,3.0,0.0,0.0,Ulanqab
05-06,36.7071591,119.1557441,44.0,44.0,0.0,0.0,Weifang
05-06,37.5120997,122.1152599,38.0,37.0,1.0,0.0,Weihai
05-06,34.5037437,109.4572848,15.0,15.0,0.0,0.0,Weinan
05-06,39.6540161,106.7879045,2.0,2.0,0.0,0.0,Wuhai
05-06,34.3468421,108.93658870000002,120.0,117.0,3.0,0.0,Xi'an
05-06,34.3075655,108.7234362,17.0,17.0,0.0,0.0,Xianyang
05-06,39.91086720000001,116.3599221,53.0,0.0,0.0,0.0,Xicheng District
05-06,38.4139173,112.730463,7.0,7.0,0.0,0.0,Xinzhou
05-06,36.58539320000001,109.4828549,8.0,8.0,0.0,0.0,Yan'an
05-06,21.8526328,111.95935,14.0,14.0,0.0,0.0,Yangjiang
05-06,34.271725,108.0800183,1.0,1.0,0.0,0.0,Yangling District in Xianyang
05-06,37.85862,113.5730276,4.0,4.0,0.0,0.0,Yangquan
05-06,36.6243585,120.4342057,1.0,0.0,0.0,0.0,Yanqing District
05-06,37.461928,121.4425255,47.0,47.0,0.0,0.0,Yantai
05-06,47.9433709,129.1847514,1.0,1.0,0.0,0.0,Yichun
05-06,38.285295700000006,109.72875829999998,3.0,3.0,0.0,0.0,Yulin
05-06,35.027637,111.002141,19.0,19.0,0.0,0.0,Yuncheng
05-06,34.8113006,117.3178278,24.0,24.0,0.0,0.0,Zaozhuang
05-06,21.2745127,110.3541291,24.0,24.0,0.0,2.0,Zhanjiang
05-06,23.0515551,112.4728451,20.0,19.0,1.0,0.0,Zhaoqing
05-06,22.5213807,113.3656141,69.0,69.0,0.0,0.0,Zhongshan
05-06,22.2305196,113.5462439,103.0,102.0,1.0,1.0,Zhuhai
05-06,36.8047833,118.0444472,30.0,29.0,1.0,0.0,Zibo
05-05,38.8579735,115.490696,32.0,32.0,0.0,0.0,Baoding
05-05,31.4066338,121.4851577,22.0,21.0,1.0,0.0,Baoshan District
05-05,40.6549157,109.8344586,11.0,11.0,0.0,0.0,Baotou
05-05,40.7411867,107.3826113,8.0,7.0,1.0,0.0,Bayannur
05-05,38.3042796,116.8511597,48.0,45.0,3.0,0.0,Cangzhou
05-05,31.2092762,121.3899859,13.0,13.0,0.0,0.0,Changning District
05-05,40.2141429,116.17226818841999,29.0,10.0,0.0,0.0,Changping District
05-05,36.1829336,113.0985394,8.0,8.0,0.0,0.0,Changzhi
05-05,39.92044979999999,116.43691090000002,75.0,0.0,0.0,0.0,Chaoyang District
05-05,23.6566146,116.6205482,6.0,6.0,0.0,0.0,Chaozhou
05-05,40.957718,117.9543248,7.0,7.0,0.0,0.0,Chengde
05-05,42.2799929,118.9426131,9.0,9.0,0.0,0.0,Chifeng
05-05,31.6313393,121.5337768,4.0,4.0,0.0,0.0,Chongming District
05-05,46.5969028,125.1014811,27.0,25.0,1.0,0.0,Daqing
05-05,40.0921758,113.2950953,12.0,12.0,0.0,0.0,Datong
05-05,39.63606985,116.46452139471874,39.0,16.0,0.0,0.0,Daxing District
05-05,52.34135130000001,124.56193839999999,3.0,3.0,0.0,0.0,Daxinganling
05-05,39.9269012,116.4100395,14.0,1.0,0.0,0.0,Dongcheng District
05-05,23.0444712,113.7465512,100.0,99.0,1.0,0.0,Dongguan
05-05,39.7145318,115.86050079650428,16.0,3.0,0.0,0.0,Fangshan District
05-05,39.8571176,116.2804172,43.0,3.0,0.0,0.0,Fengtai District
05-05,30.9204487,121.4693834,9.0,9.0,0.0,0.0,Fengxian District
05-05,23.0247687,113.1146335,100.0,96.0,0.0,1.0,Foshan
05-05,23.1301964,113.2592945,504.0,498.0,1.0,4.0,Guangzhou
05-05,39.9580718,116.292405,64.0,0.0,0.0,0.0,Haidian District
05-05,36.583333,114.483333,32.0,32.0,0.0,0.0,Handan
05-05,30.2489634,120.2052342,181.0,181.0,0.0,0.0,Hangzhou
05-05,45.7656666,126.6160584,263.0,216.0,4.0,8.0,Harbin
05-05,47.3355856,130.28367179999998,5.0,5.0,0.0,0.0,Hegang
05-05,48.00000470000001,127.999992,14.0,14.0,0.0,0.0,Heihe
05-05,37.7364305,115.6677229,8.0,8.0,0.0,0.0,Hengshui
05-05,23.746777,114.6954482,5.0,5.0,0.0,0.0,Heyuan
05-05,40.8337963,111.6730788,7.0,7.0,0.0,0.0,Hohhot
05-05,31.266703000000003,121.501751,7.0,7.0,0.0,0.0,Hongkou District
05-05,40.64575865000001,116.624596525,7.0,0.0,0.0,0.0,Huairou District
05-05,31.2335925,121.479864,6.0,6.0,0.0,0.0,Huangpu District
05-05,29.831086100000004,118.3358441,62.0,62.0,0.0,0.0,Huizhou
05-05,49.2187995,119.7431228,9.0,7.0,0.0,0.0,Hulunbuir
05-05,30.8942995,120.0851114,10.0,10.0,0.0,0.0,Huzhou
05-05,31.3838958,121.2461723,9.0,7.0,2.0,0.0,Jiading District
05-05,46.8087794,130.3734556,15.0,15.0,0.0,0.0,Jiamusi
05-05,22.5766294,113.079047,24.0,24.0,0.0,0.0,Jiangmen
05-05,30.7474425,120.7510971,46.0,46.0,0.0,0.0,Jiaxing
05-05,23.5430817,116.3497169,11.0,11.0,0.0,0.0,Jieyang
05-05,35.493783,112.8519862,10.0,10.0,0.0,0.0,Jincheng
05-05,31.2297756,121.44306,16.0,15.0,1.0,0.0,Jing'an District
05-05,29.1080344,119.6486487,55.0,55.0,0.0,0.0,Jinhua
05-05,30.744817,121.3372571,4.0,4.0,0.0,0.0,Jinshan District
05-05,37.68667960000001,112.7383414,37.0,37.0,0.0,0.0,Jinzhong
05-05,45.2928513,130.9619259,46.0,46.0,0.0,0.0,Jixi
05-05,39.5128345,116.6997446,30.0,30.0,0.0,0.0,Langfang
05-05,36.0885338,111.512998,2.0,2.0,0.0,0.0,Linfen
